######## 2021-02-05 00:11:39.068742 ########
# gene,pvalue
ENSG00000263089,4.7027932838921794e-08
ENSG00000070087,3.3081724106164435e-07
ENSG00000266261,1.7903215470582477e-06
ENSG00000167700,2.502329619367849e-06
ENSG00000259883,2.9858950465908445e-06
ENSG00000262950,3.0604591498393e-06
ENSG00000153561,4.323303175114988e-06
ENSG00000179262,5.129524792060478e-06
ENSG00000095587,0.00011264772365898027
ENSG00000242268,0.0002111348358634681
ENSG00000146083,0.0005333504265433264
ENSG00000185105,0.0006906187897138936
ENSG00000269148,0.0008757587437418804
ENSG00000271647,0.0010655146865307993
ENSG00000223922,0.0012814414006517326
ENSG00000225269,0.0013497871855466398
ENSG00000198242,0.0028267212151474423
ENSG00000234900,0.005634675396441554
ENSG00000182141,0.00610520021013562
ENSG00000231981,0.007454461187193677
ENSG00000269416,0.01872003511048312
ENSG00000234943,0.023950428615250978
ENSG00000166391,0.025376376826595208
ENSG00000269475,0.02594795556730179
ENSG00000240423,0.02642035060156071
ENSG00000158486,0.028403489071397812
ENSG00000127511,0.03092182512648295
ENSG00000060642,0.043712620503551916
ENSG00000102174,0.046047475822011234
ENSG00000214062,0.04929142470714468
ENSG00000236040,0.05402056720010375
ENSG00000078237,0.060377044510581554
ENSG00000206072,0.11673503190723482
ENSG00000273406,0.1462613045898342
ENSG00000227766,0.1637877403322171
ENSG00000225275,0.16390907803856605
ENSG00000278099,0.16702360059060645
ENSG00000270469,0.19883648454498284
ENSG00000167578,0.22223410117352388
ENSG00000270112,0.22671764269339734
ENSG00000273842,nan
ENSG00000231105,0.13778999806726638
ENSG00000258630,0.23991957167730862
ENSG00000234881,0.297815222975419
ENSG00000201788,0.3234749451713832
ENSG00000271616,0.3234749451713832
ENSG00000064601,0.3386860048745576
ENSG00000214198,0.3691762240373372
ENSG00000172137,0.6546497201946854
ENSG00000134108,0.6683222352543342
